fej,<img src="https://st2.depositphotos.com/4556043/7750/i/450/depositphotos_77508784-stock-photo-face-image.jpg"></img>head
haj,<img src="https://t4.ftcdn.net/jpg/02/94/18/19/360_F_294181967_ajuzHkrjY4WNANFZSdcWBY0FVPM5dY83.jpg"></img>hair
nose,<img src="https://media.istockphoto.com/id/641615928/photo/nose-isolated-on-white.jpg?s=612x612&w=0&k=20&c=p-ps_8NubYJJDoghjDg4oiYB6uPI8usLaWnDTD1uUDE="></img>orr
szemek,<img src="https://st3.depositphotos.com/13194036/17300/i/450/depositphotos_173001496-stock-photo-eyes.jpg"></img>eyes
fül,<img src="https://t4.ftcdn.net/jpg/00/46/44/93/360_F_46449370_ScSOKwiApgDjepImkjE9CnL4RVKLONHh.jpg"></img>ear
száj,<img src="https://plus.unsplash.com/premium_photo-1671656333492-bc2b3192a0d3?fm=jpg&q=60&w=3000&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bW91dGh8ZW58MHx8MHx8fDA%3D"></img>mouth
fogak,<img src="https://t3.ftcdn.net/jpg/00/76/81/20/360_F_76812005_PVa8TLQeVIhvqhY3WDsDNizFKdvCvmRA.jpg"></img>teeth
nyak,<img src="https://st3.depositphotos.com/20363444/32296/i/450/depositphotos_322966166-stock-photo-cropped-view-woman-touching-neck.jpg"></img>neck
váll,<img src="https://st2.depositphotos.com/1106973/8767/i/450/depositphotos_87678406-stock-photo-man-with-pain-in-shoulder.jpg"></img>shoulder
hát,<img src="https://media.istockphoto.com/id/845782494/photo/upper-torso-of-a-fit-muscular-young-man.jpg?s=612x612&w=0&k=20&c=97a3cJISkLDpm3x_wMcMHY79RYea0gabWFHIn-pORsI="></img>back
kar,<img src="https://media.istockphoto.com/id/500394897/photo/strong-male-arm-shows-biceps-close-up-photo-isolated-on-white.jpg?s=612x612&w=0&k=20&c=x1ra6okTPnXPIeKNZiuzGBbUjXnJccZed7Th0nOJ-8Y="></img>arm
könyök,<img src="https://www.shutterstock.com/image-photo/elbow-asian-woman-white-skin-260nw-1217410258.jpg"></img>elbow
kéz,<img src="https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmsposerRgVEdOpnirNMBG7w5Tj6LPsE6rHQ&s"></img>hand
ujj,<img src="https://st.depositphotos.com/1868027/1975/i/450/depositphotos_19758855-stock-photo-pointing-finger-showing.jpg"></img>finger
láb,<img src="https://media.istockphoto.com/id/604020424/photo/hairy-man-legs.jpg?s=612x612&w=0&k=20&c=zD7EDWlh1_T6mSysBJVGWMVZ84-f6ciFGxdgkBOS7Ck="></img>leg
térd,<img src="https://st.depositphotos.com/1319000/1687/i/450/depositphotos_16870001-stock-photo-knees-a-little-child.jpg"></img>knee
lábfej,<img src="https://media.istockphoto.com/id/156974307/photo/man-foot.jpg?s=612x612&w=0&k=20&c=a7bupV4eHLJvF7QMN39-8ZjwnSk7g-6cB8iTdWvsAwU="></img>foot
lábujj,<img src="https://media.istockphoto.com/id/152138208/photo/beautiful-female-feet-with-french-pedicure-closeup.jpg?s=612x612&w=0&k=20&c=X4HwQ1cGreyCl9mtMDuTyylkzOI58BYUX4nYho7YUvg="></img>toe
