főzni,<img src="https://img.freepik.com/free-vector/hand-drawn-chef-outline-illustration_23-2150874789.jpg"></img><br>cook
táncol,<img src="https://img.freepik.com/free-vector/hand-drawn-flat-people-dancing_23-2149071533.jpg"></img><br>dance
etet,<img src="https://img.freepik.com/free-photo/close-up-beautiful-dachshund-eating_23-2149202497.jpg"></img><br>feed
játszik,<img src="https://img.freepik.com/free-photo/friends-having-fun-with-traditional-games_23-2149332667.jpg"></img><br>play
biciklizik,<img src="https://img.freepik.com/free-vector/ride-bicycle-concept-illustration_114360-28442.jpg"></img><br>ride a bike
lovagol,<img src="https://img.freepik.com/free-photo/kid-learning-ride-horse_52683-116405.jpg"></img><br>ride a horse
úszik,<img src="https://img.freepik.com/free-vector/teenage-boy-swimming-blue-water_1308-132882.jpg"></img><br>swim
csónakázik,<img src="https://img.freepik.com/free-vector/sailing-lake-concept-illustration_114360-23173.jpg"></img><br>sail a boat
jégkorcsolyázik,<img src="https://img.freepik.com/free-photo/happy-young-couple-dating-ice-rink-hugging-enjoying-winter-time_613910-14779.jpg"></img><br>ice-skate
focizik,<img src="https://img.freepik.com/free-photo/girl-boy-playing-with-ball-grass_23-2148308794.jpg"></img><br>play football
