egy,<img src=""></img><br>one
kettő,<img src=""></img><br>two
három,<img src=""></img><br>three
négy,<img src=""></img><br>four
öt,<img src=""></img><br>five
hat,<img src=""></img><br>six
hét,<img src=""></img><br>seven
nyolc,<img src=""></img><br>eight
kilenc,<img src=""></img><br>nine
tíz,<img src=""></img><br>ten
tizenegy,<img src=""></img><br>eleven
tizenkettő,<img src=""></img><br>twelve
tizenhárom,<img src=""></img><br>thirteen
tizennégy,<img src=""></img><br>fourteen
tizenöt,<img src=""></img><br>fifteen
tizenhat,<img src=""></img><br>sixteen
tizenhét,<img src=""></img><br>seventeen
tizennyolc,<img src=""></img><br>eighteen
tizenkilenc,<img src=""></img><br>nineteen
húsz,<img src=""></img><br>twenty
