őriz,<img src=" "></img><br> bewachen
király,<img src=" "></img><br>der König
királynő,<img src=" "></img><br>die Königin
korona,<img src=" "></img><br>die Krone
kocsi,<img src=" "></img><br>die Kutsche
lándzsa,<img src=" "></img><br>die Lanze
lovag,<img src=" "></img><br>der Ritter
őr,<img src=" "></img><br>der Wächter
címer,<img src=" "></img><br>das Wappen
rövidítés,<img src=" "></img><br>die Abkürzung
hétköznap,<img src=" "></img><br>der Alltag
elkészít,<img src=" "></img><br>richtet an anrichten
különben,<img src=" "></img><br> ansonsten
kiáll,<img src=" "></img><br>tritt an antreten
rajta van,<img src=" "></img><br>hat auf aufhaben
befed,<img src=" "></img><br> bedecken
megvéd,<img src=" "></img><br> beschützen
sör,<img src=" "></img><br>das Bier
mellvért,<img src=" "></img><br>der Brustpanzer
várkisasszony,<img src=" "></img><br>das Burgfräulein
alatta,<img src=" "></img><br> darunter
dozens(nő),<img src=" "></img><br>die Dozentin
vasból való,<img src=" "></img><br> eisern
elbeszélés,<img src=" "></img><br>die Erzählung
díszterem,<img src=" "></img><br>der Festsaal
korán,<img src=" "></img><br> früh
folytat,<img src=" "></img><br> führen
bélelt,<img src=" "></img><br> gefüttert
egymás ellen,<img src=" "></img><br> gegeneinander
fűszer,<img src=" "></img><br>das Gewürz
kesztyű,<img src=" "></img><br>der Handschuh
ing,<img src=" "></img><br>das Hemd
harcol,<img src=" "></img><br> kämpfen
gyertya,<img src=" "></img><br>die Kerze
páncéling,<img src=" "></img><br>das Kettenhemd
háború,<img src=" "></img><br>der Krieg
fény,<img src=" "></img><br>das Licht
középkor,<img src=" "></img><br>das Mittelalter
gyümölcs,<img src=" "></img><br>das Obst
nyitva,<img src=" "></img><br> offen
karton,<img src=" "></img><br>die Pappe
nyil,<img src=" "></img><br>der Pfeil
párna,<img src=" "></img><br>das Polster
szabályosan,<img src=" "></img><br> regelrecht
gazdag,<img src=" "></img><br> reich
páncél,<img src=" "></img><br>die Rüstung
só,<img src=" "></img><br>das Salz
pajzs,<img src=" "></img><br>der Schild
rés,<img src=" "></img><br>der Schlitz
kard,<img src=" "></img><br>das Schwert
diák (egyetemista),<img src=" "></img><br>der Student
csupor,<img src=" "></img><br>der Topf
egyetem,<img src=" "></img><br>die Universität
fal,<img src=" "></img><br> verschlingen
megígér,<img src=" "></img><br>verspricht versprechen
mialatt,<img src=" "></img><br> während
zeke,<img src=" "></img><br>das Wams
bor,<img src=" "></img><br>der Wein
ízesít,<img src=" "></img><br> würzen
felvesz,<img src=" "></img><br>zieht an anziehen
szegény,<img src=" "></img><br> arm
hamu,<img src=" "></img><br>die Asche
Hamupipőke,<img src=" "></img><br>das Aschenputtel
kikeres,<img src=" "></img><br>sucht aus aussuchen
meglocsol,<img src=" "></img><br> begießen
belép vhová,<img src=" "></img><br> betreten
mérges,<img src=" "></img><br> böse
menyasszony,<img src=" "></img><br>die Braut
de,<img src=" "></img><br> doch
el,<img src=" "></img><br> fort
idegen,<img src=" "></img><br> fremd
arany,<img src=" "></img><br>das Gold
sír,<img src=" "></img><br>das Grab
megházasodik,<img src=" "></img><br> heiraten
kiolvas,<img src=" "></img><br>liest heraus herauslesen
lencse,<img src=" "></img><br>die Linse
mese,<img src=" "></img><br>das Märchen
ültet,<img src=" "></img><br> pflanzen
csipeget,<img src=" "></img><br> picken
hív,<img src=" "></img><br> rufen
megráz,<img src=" "></img><br> rütteln
üt,<img src=" "></img><br>schlägt schlagen
piszkos,<img src=" "></img><br> schmutzig
ráz,<img src=" "></img><br> schütteln
önt,<img src=" "></img><br> schütten
ezüst,<img src=" "></img><br>das Silber
meghal,<img src=" "></img><br>stirbt sterben
mostohaanya,<img src=" "></img><br>die Stiefmutter
könny,<img src=" "></img><br>die Träne
ismeretlen,<img src=" "></img><br> unbekannt
gyönyörű,<img src=" "></img><br> wunderschön
varázslat,<img src=" "></img><br>der Zauber
elégedett,<img src=" "></img><br> zufrieden
követ,<img src=" "></img><br>der Bote
szobalány,<img src=" "></img><br>das Dienstmädchen
esküvő,<img src=" "></img><br>die Hochzeit
illik,<img src=" "></img><br> passen
csodálkozik,<img src=" "></img><br> staunen
megpróbál,<img src=" "></img><br> versuchen
nép,<img src=" "></img><br>das Volk
belépés,<img src=" "></img><br>der Eintritt
gimnázium,<img src=" "></img><br>das Gymnasium
modern,<img src=" "></img><br> modern
bemutat,<img src=" "></img><br> präsentieren
csizma,<img src=" "></img><br>der Stiefel
színtársulat,<img src=" "></img><br>die Theatergruppe
színdarab,<img src=" "></img><br>das Theaterstück
tornacsarnok,<img src=" "></img><br>die Turnhalle
előadás,<img src=" "></img><br>die Vorstellung
amikor,<img src=" "></img><br> als (wann?)
izgatott,<img src=" "></img><br>ist aufgeregt aufgeregt sein
érzés,<img src=" "></img><br>das Gefühl
alapít,<img src=" "></img><br> gründen
próbál,<img src=" "></img><br> proben
szerep,<img src=" "></img><br>die Rolle
hang,<img src=" "></img><br>die Stimme
parasztfiú,<img src=" "></img><br>der Bauernsohn
tündér,<img src=" "></img><br>die Fee
róka,<img src=" "></img><br>der Fuchs
szellem,<img src=" "></img><br>das Gespenst
boszorkány,<img src=" "></img><br>die Hexe
hatalmas,<img src=" "></img><br> mächtig
pantomim,<img src=" "></img><br>die Pantomime
varázsló,<img src=" "></img><br>der Zauberer
