Na minden oké nálad?	, <img src=" "></img><br>Na alles klar bei dir?
Minden rendben?	, <img src=" "></img><br>Na alles rund?
Mi újság? (nagyon laza)	, <img src=" "></img><br>Was geht ab?
Mi a helyzet?	, <img src=" "></img><br>Was liegt an?
Vigyázz magadra!	, <img src=" "></img><br>Mach's gut!
Mindjárt találkozunk!	, <img src=" "></img><br>Bis gleich!
Csáó lépj le! (nagyon laza)	, <img src=" "></img><br>Hau ab!
Húzz el!	, <img src=" "></img><br>Schieb ab!
Durva! (meglepő)	, <img src=" "></img><br>Krass!
Most tényleg ? | Komolyan?	, <img src=" "></img><br>Echt jetzt?
Ez rohadtul idegesít!	, <img src=" "></img><br>Das nervt mich total!
Szuper király!	, <img src=" "></img><br>Mega geil!
Nincs kedvem	, <img src=" "></img><br>Ich habe keinen Bock
Tökéletes szuper!	, <img src=" "></img><br>Tippitoppi!
Meg tudod csinálni!	, <img src=" "></img><br>Du packst das!
Találd ki!	, <img src=" "></img><br>Rate mal!
Ne aggódj!	, <img src=" "></img><br>Mach dir keinen Kopf!
Ezt nem mondod komolyan!	, <img src=" "></img><br>Das ist nicht dein Ernst!
Micsoda hülyeség!	, <img src=" "></img><br>So ein Schmarrn!
Ne érts félre!	, <img src=" "></img><br>Versteh mich nicht falsch!
Gyere mozogj már!	, <img src=" "></img><br>Komm schwing dich!
Mondjad rajta! Ki vele!	, <img src=" "></img><br>Schieß los!
Ne tereld el a témát!	, <img src=" "></img><br>Lenk nicht vom Thema ab!
Becsületszavamra!	, <img src=" "></img><br>Ehrenwort!
Mondd már! Nyögd már ki!	, <img src=" "></img><br>Spuck's raus!
Felejtsük el!	, <img src=" "></img><br>Schwamm drüber!
Nagyon szívesen!	, <img src=" "></img><br>Supergerne!
Nem olyan vészes!	, <img src=" "></img><br>Halb so schlimm!
Mi olyan vicces ebben?	, <img src=" "></img><br>Was ist daran so lustig?
Örülök neked!	, <img src=" "></img><br>Ich freu mich für dich!
Ő mindig is drámakirálynő volt	, <img src=" "></img><br>Sie war immer ein Dramakönig 
Na hármat találhatsz!	, <img src=" "></img><br>Jetzt darfst du dreimal raten!
Nahát! | Atyaég!	, <img src=" "></img><br>Mann oh Mann!
Nagyon vicces vagy!	, <img src=" "></img><br>Scherzkeks!
Egy hangot se!	, <img src=" "></img><br>Keinen Mucks!
Ez hülyeség!	, <img src=" "></img><br>Das ist doof!
Ez totális hülyeség!	, <img src=" "></img><br>Das ist Schwachsinn!
Elszúrni valamit	, <img src=" "></img><br>Verkacken
Lazíts!	, <img src=" "></img><br>Entspann dich!
Minden rendben!	, <img src=" "></img><br>Alles Roger!
Mit forralsz?	, <img src=" "></img><br>Was heckst du da aus?
Elegem van!	, <img src=" "></img><br>Ich hab's satt!
Ne foglalkozz vele!	, <img src=" "></img><br>Scher dich nicht drum!
Fogadok…	, <img src=" "></img><br>Ich wette…
Tartsunk egy szünetet!	, <img src=" "></img><br>Lass uns eine Pause machen 
Menni fog neked!	, <img src=" "></img><br>Das schaffst du schon!
Kapcsold ki az agyad!	, <img src=" "></img><br>Kopf aus!
Megegyeztünk!	, <img src=" "></img><br>Abgemacht!
Lazíts!	, <img src=" "></img><br>Entspann dich!
Hülyének nézel?	, <img src=" "></img><br>Willst du mich pflanzen?
