só	, <img src="https://www.istockphoto.com/hu/fot%C3%B3/s%C3%B3s-ed%C3%A9ny-%C3%A9s-halom-ki%C3%B6ml%C3%B6tt-s%C3%B3-egy-betonlemezen-gm2093653925-565949289"></img><br>der Salz
bors	, <img src="https://media.istockphoto.com/id/979264404/hu/fot%C3%B3/%C5%91r%C3%B6lt-fekete-bors.jpg"></img><br>der Pfeffer
cukor	, <img src="https://media.istockphoto.com/id/1420446362/hu/fot%C3%B3/feh%C3%A9r-granul%C3%A1lt-cukor-%C3%A9s-finom%C3%ADtott-cukorkock%C3%A1k-k%C3%B6zelr%C5%91l-a-konyh%C3%A1ban.jpg"></img><br>der Zucker
méz	, <img src="https://media.istockphoto.com/id/162847094/hu/fot%C3%B3/m%C3%A9z-egy-%C3%BCveged%C3%A9nyben-a-m%C3%A9hsejtek-mellett.jpg"></img><br>der Honig
vaj	, <img src="https://media.istockphoto.com/id/1512368507/hu/fot%C3%B3/n%C5%91-k%C3%A9zzel-v%C3%A1g-friss-vajat-asztali-k%C3%A9ssel.jpg"></img><br>die Butter
tej	, <img src="https://media.istockphoto.com/id/1483123441/hu/fot%C3%B3/friss-term%C3%A9szetes-tej-egy-poh%C3%A1rban-%C3%A9s-kancs%C3%B3ban-otthon.jpg"></img><br>die Milch
sajt	, <img src="https://media.istockphoto.com/id/1127471287/hu/fot%C3%B3/sajt-feh%C3%A9ren.jpg"></img><br>der Käse
tojás	, <img src="https://media.istockphoto.com/id/1085962980/hu/fot%C3%B3/friss-toj%C3%A1s-pap%C3%ADrt%C3%A1lc%C3%A1ban-feh%C3%A9r-fel%C3%BCleten-b.jpg"></img><br>das Ei
kenyér	, <img src="https://media.istockphoto.com/id/1225037151/hu/fot%C3%B3/n%C5%91-friss-s%C3%BClt-kov%C3%A1szos-keny%C3%A9rrel-a-konyh%C3%A1ban.jpg"></img><br>das Brot
zsemle	, <img src="https://media.istockphoto.com/id/1029747434/hu/fot%C3%B3/kaiser-rolls-elszigetelt-feh%C3%A9r-h%C3%A1tt%C3%A9r.jpg"></img><br>das Brötchen
kalács	, <img src="https://media.istockphoto.com/id/2161227788/hu/fot%C3%B3/fonott-b%C3%BAzalisztb%C5%91l-k%C3%A9sz%C3%BClt-cip%C3%B3-feh%C3%A9ren-izol%C3%A1lva.jpg"></img><br>der Kuchen
torta	, <img src="https://media.istockphoto.com/id/1921706744/hu/fot%C3%B3/nem-s%C3%BCtj%C3%BCk-sajttorta-friss-eperrel-a-tetej%C3%A9n-egy-feh%C3%A9r-t%C3%A1ny%C3%A9ron-sz%C3%BCrke-beton-alapon.jpg"></img><br>die Torte
mézeskalács	, <img src="https://media.istockphoto.com/id/1255425147/hu/fot%C3%B3/kar%C3%A1csonyi-m%C3%A9zeskal%C3%A1cs-f%C3%A9rfi-cookie-k-%C3%A9s-f%C5%B1szerek.jpg"></img><br>der Lebkuchen
csokoládé	, <img src="https://media.istockphoto.com/id/2158362846/hu/fot%C3%B3/organic-chocolate-background-pile-of-cocoa-bars-top-view.jpg"></img><br>die Schokolade
cukorka	, <img src="https://media.istockphoto.com/id/908259584/hu/fot%C3%B3/k%C3%BCl%C3%B6nb%C3%B6z%C5%91-csokol%C3%A1d%C3%A9-pralin%C3%A9k.jpg"></img><br>das Bonbon
rágógumi	, <img src="https://media.istockphoto.com/id/1144490001/hu/fot%C3%B3/r%C3%A1g%C3%B3gumi-p%C3%A1rna-menta-levelekkel.jpg"></img><br>der Kaugummi
sütemény	, <img src="https://media.istockphoto.com/id/576725502/hu/fot%C3%B3/3-bites-torta-kekszekkel.jpg"></img><br>der Keks
tészta	, <img src="https://media.istockphoto.com/id/2201222920/hu/fot%C3%B3/k%C3%B6zeli-k%C3%A9p-egy-s%C3%A9fr%C5%91l-aki-frissen-k%C3%A9sz%C3%ADtett-t%C3%A9sztasz%C3%A1lakat-tart-a-kez%C3%A9ben-hagyom%C3%A1nyos-k%C3%A9zzel.jpg"></img><br>die Nudeln
rizs	, <img src="https://media.istockphoto.com/id/463782257/hu/fot%C3%B3/feh%C3%A9r-rizs-egy-f%C3%A9m-serpeny%C5%91ben.jpg"></img><br>der Reis
burgonya	, <img src="https://media.istockphoto.com/id/116008750/hu/fot%C3%B3/burgonya.jpg"></img><br>die Kartoffel
saláta	, <img src="https://media.istockphoto.com/id/153491286/hu/fot%C3%B3/friss-sal%C3%A1ta.jpg"></img><br>der Salat
