nyúl,der Hase
kutya,der Hund
macska,die Katze
ló,das Pferd
egér,die Maus
kacsa,die Ente
csirke,die Henne
kakas,der Hahn
hangya,die Ameise
malac,das Schwein
tehén,die Kuh
bika,der Stier
juh,das Schaf
bárány,das Lamm
kecske,die Ziege
elefánt,der Elefant
oroszlán,der Löwe
tigris,der Tiger
medve,der Bär
farkas,der Wolf
róka,der Fuchs
medúza,die Qualle
hal,der Fisch
cápa,der Hai
delfin,der Delfin
bálna,der Wal
pingvin,der Pinguin
krokodil,das Krokodil
teknős,die Schildkröte
béka,der Frosch
madár,der Vogel
papagáj,der Papagei
galamb,die Taube
sirály,die Möwe
fecske,die Schwalbe
bagoly,die Eule
pók,die Spinne
légy,die Fliege
pillangó,der Schmetterling
méh,die Biene
szúnyog,die Mücke
csótány,die Kakerlake
sün,der Igel
madárijesztő,die Vogelscheuche
fészek,das Nest
szőr,das Fell
bunda,das Pelz
szarv,das Horn
patkó,der Huf
szárny,der Flügel
farok,der Schwanz
karmok,die Krallen
agyar,die Klaue
