nulla,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number0.jpg"></img><br>null
egy,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number1.jpg"></img><br>eins
kettő,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number2.jpg"></img><br>zwei
három,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number3.jpg"></img><br>drei
négy,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number4.jpg"></img><br>vier
öt,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number5.jpg"></img><br>fünf
hat,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number6.jpg"></img><br>sechs
hét,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number7.jpg"></img><br> sieben
nyolc,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number8.jpg"></img><br>acht
kilenc,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number9.jpg"></img><br>neun
tíz,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number10.jpg"></img><br>zehn
tizenegy,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number11.jpg"></img><br>elf
tizenkettő,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number12.jpg"></img><br>zwölf
tizenhárom,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number13.jpg"></img><br>dreizehn
tizennégy,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number14.jpg"></img><br>vierzehn
tizenöt,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number15.jpg"></img><br>fünfzehn
tizenhat,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number16.jpg"></img><br>sechzehn
tizenhét,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number17.jpg"></img><br>siebzehn
tizennyolc,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number18.jpg"></img><br>achtzehn
tizenkilenc,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number19.jpg"></img><br>neunzehn
húsz,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number20.jpg"></img><br>zwanzig
harminc,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number30.jpg"></img><br>dreißig
negyven,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number40.jpg"></img><br>vierzig
ötven,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number50.jpg"></img><br>fünfzig
hatvan,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number60.jpg"></img><br>sechzig
hetven,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number70.jpg"></img><br>siebzig
nyolcvan,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number80.jpg"></img><br>achtzig
kilencven,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number90.jpg"></img><br>neunzig
száz,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number100.jpg"></img><br>hundert
ezer,<img src="https://www.kidsmathgamesonline.com/images/pictures/numbers600/number1000.jpg"></img><br>tausend
